id,source_term,type,pinyin,label,curated_gloss
PRE_03092,仲景乌梅圆泻心汤,PRE,Zhongjingwumeiyuanxiexin Tang,Zhongjingwumeiyuanxiexin Tang,False
PRE_03093,伏龙肝散,PRE,Fulonggan San,Fulonggan San,False
PRE_03094,何人饮,PRE,Heren Yin,Heren Yin,False
PRE_03095,使君散,PRE,Shijun San,Shijun San,False
PRE_03096,保和丸合枳术丸,PRE,Baohewanhezhishu Wan,Baohewanhezhishu Wan,False
PRE_03097,保真汤,PRE,Baozhen Tang,Baozhen Tang,False
PRE_03098,修肝散,PRE,Xiugan San,Xiugan San,False
PRE_03099,健固汤,PRE,Jiangu Tang,Jiangu Tang,False
PRE_03100,元滑苓甘散,PRE,Yuanhualinggan San,Yuanhualinggan San,False
PRE_03101,六圣丸,PRE,Liusheng Wan,Liusheng Wan,False
PRE_03102,六安煎,PRE,Luanjian,Luanjian,False
PRE_03103,六磨汤,PRE,Liumo Tang,Liumo Tang,False
PRE_03104,六神饮,PRE,Liushen Yin,Liushen Yin,False
PRE_03105,养精种玉汤,PRE,Yangjingzhongyu Tang,Yangjingzhongyu Tang,False
PRE_03106,养胃增液汤,PRE,Yangweizengye Tang,Yangweizengye Tang,False
PRE_03107,凉营清气汤,PRE,Liangyingqingqi Tang,Liangyingqingqi Tang,False
PRE_03108,凉血消风汤,PRE,Liangxuexiaofeng Tang,Liangxuexiaofeng Tang,False
PRE_03109,利膈丸,PRE,Lige Wan,Lige Wan,False
PRE_03110,加味归脾丸,PRE,Jiaweiguipi Wan,Jiaweiguipi Wan,False
PRE_03111,化积丸,PRE,Huaji Wan,Huaji Wan,False
PRE_03112,化风丹,PRE,Huafengdan,Huafengdan,False
PRE_03113,医垒元戎搜风汤,PRE,Yileiyuanrongsoufeng Tang,Yileiyuanrongsoufeng Tang,False
PRE_03114,医垒元戎搜风汤太乙膏,PRE,Yileiyuanrongsoufengtangtaiyi Gao,Yileiyuanrongsoufengtangtaiyi Gao,False
PRE_03115,十全大补丸,PRE,Shiquandabu Wan,Shiquandabu Wan,False
PRE_03116,十灰散,PRE,Shihui San,Shihui San,False
PRE_03117,千金温脾汤,PRE,Qianjinwenpi Tang,Qianjinwenpi Tang,False
PRE_03118,千金犀角散,PRE,Qianjinxijiao San,Qianjinxijiao San,False
PRE_03119,升阳益气汤,PRE,Shengyangyiqi Tang,Shengyangyiqi Tang,False
PRE_03120,升麻消毒饮,PRE,Shengmaxiaodu Yin,Shengmaxiaodu Yin,False
PRE_03121,半夏生姜汤,PRE,Banxiashengjiang Tang,Banxiashengjiang Tang,False
PRE_03122,参生化汤,PRE,Canshenghua Tang,Canshenghua Tang,False
PRE_03123,参苓白术丸,PRE,Canlingbaizhu Wan,Canlingbaizhu Wan,False
PRE_03124,参蛤,PRE,Canha,Canha,False
PRE_03125,参附养营汤,PRE,Canfuyangying Tang,Canfuyangying Tang,False
PRE_03126,双合汤,PRE,Shuanghe Tang,Shuanghe Tang,False
PRE_03127,君子圆,PRE,Junziyuan,Junziyuan,False
PRE_03128,启膈散,PRE,Qige San,Qige San,False
PRE_03129,和荣散坚丸,PRE,Herongsanjian Wan,Herongsanjian Wan,False
PRE_03130,和营散坚丸,PRE,Heyingsanjian Wan,Heyingsanjian Wan,False
PRE_03131,唾痰,PRE,Tuotan,Tuotan,False
PRE_03132,四七汤,PRE,Siqi Tang,Siqi Tang,False
PRE_03133,四七汤导痰汤,PRE,Siqitangdaotan Tang,Siqitangdaotan Tang,False
PRE_03134,四兽饮,PRE,Sishou Yin,Sishou Yin,False
PRE_03135,四味香薷饮,PRE,Siweixiangru Yin,Siweixiangru Yin,False
PRE_03136,四妙汤,PRE,Simiao Tang,Simiao Tang,False
PRE_03137,四苓汤,PRE,Siling Tang,Siling Tang,False
PRE_03138,四苓汤玉露散,PRE,Silingtangyulu San,Silingtangyulu San,False
PRE_03139,四顺汤,PRE,Sishun Tang,Sishun Tang,False
PRE_03140,回阳急救汤,PRE,Huiyangjijiu Tang,Huiyangjijiu Tang,False
PRE_03141,固本止崩汤,PRE,Gubenzhibeng Tang,Gubenzhibeng Tang,False
PRE_03142,坎气潜龙汤,PRE,Kanqiqianlong Tang,Kanqiqianlong Tang,False
PRE_03143,垒元戎搜风汤,PRE,Leiyuanrongsoufeng Tang,Leiyuanrongsoufeng Tang,False
PRE_03144,增液汤,PRE,Zengye Tang,Zengye Tang,False
PRE_03145,复方土槿皮酊,PRE,Fufangtujinpiding,Fufangtujinpiding,False
PRE_03146,大芜荑汤,PRE,Dawuyi Tang,Dawuyi Tang,False
PRE_03147,大蜜丸,PRE,Dami Wan,Dami Wan,False
PRE_03148,大青膏,PRE,Daqing Gao,Daqing Gao,False
PRE_03149,大黄虫丸,PRE,Dahuangchong Wan,Dahuangchong Wan,False
PRE_03150,太乙膏成丸,PRE,Taiyigaocheng Wan,Taiyigaocheng Wan,False
PRE_03151,如意金黄散,PRE,Ruyijinhuang San,Ruyijinhuang San,False
PRE_03152,姜盐汤,PRE,Jiangyan Tang,Jiangyan Tang,False
PRE_03153,宁血汤,PRE,Ningxue Tang,Ningxue Tang,False
PRE_03154,安神定志丸,PRE,Anshendingzhi Wan,Anshendingzhi Wan,False
PRE_03155,安神定志汤,PRE,Anshendingzhi Tang,Anshendingzhi Tang,False
PRE_03156,安神定志灵,PRE,Anshendingzhiling,Anshendingzhiling,False
PRE_03157,安老汤,PRE,Anlao Tang,Anlao Tang,False
