node_id,x,y
CAU_00076,0.16280433489377277,0.09642147871086701
SYM_05071,0.5056990695175554,-0.39537599130529544
SYM_04395,0.23451714993028525,-0.26204664370325853
SYM_04909,0.49528610302524817,-0.40587737688952236
SYM_03480,-0.02428801746297215,-0.024376269281660423
SYM_04344,0.28314448146589694,-0.29548129545692703
CAU_00189,-0.03836209580297882,0.06355718737980301
SYM_03441,0.15735534651740282,-0.01944544753029205
CAU_00102,0.014135722083912294,-0.04031848170185667
CAU_00010,0.22879955915264766,0.0292130077718311
SYM_04394,0.5594902515652777,-0.06124174394021737
CAU_00117,0.12370958117935058,0.010735125987527348
SYM_03702,0.14463116527430703,0.10478621178971369
SYM_03514,0.22631528262804584,0.10531133576901934
SYM_03446,0.08802526333393011,-0.046312673111538034
SYM_03411,0.012593781685896626,-0.0031115491757454676
SYM_03438,-0.050301433195747564,0.022944376969298762
SYM_03431,0.19857683980165272,-0.095285352555145
CAU_00009,0.1460086570747029,-0.0951392968867324
CAU_00105,-0.2973655717002803,-0.2108732643775733
CAU_00259,0.8246196571529851,0.6723878202539577
SYM_03646,0.32185934943888367,-0.002930655149308271
SYM_03527,0.2652006873243143,0.042705056598058865
SYM_03540,0.3333205959243726,0.010855352518575438
CAU_00118,0.13611483805620628,0.026058965427345697
SYM_04089,0.14882001937280923,-0.29349253408313136
SYM_03461,0.12257674140901856,-0.07406572559424168
CAU_00057,0.191200441552471,-0.03220534614503461
SYM_03415,0.16909396754828168,-0.07045121687013747
SYM_03429,-0.08363666218379982,0.022005585852741948
SYM_03448,0.2134363459110537,-0.08439502765861308
SYM_04307,0.2283197649702077,-0.35722337042087093
CAU_00088,0.29184885346667166,-0.18399719401248635
CAU_00055,0.027980620424144,-0.05222918312667705
CAU_00083,0.3861407094292944,-0.2850005747950335
SYM_03417,0.17638450646686651,-0.07661596348049202
SYM_03538,0.29936280862605447,-0.016359080529731316
CAU_00069,0.14037735600217913,0.057901109386549084
SYM_03902,0.39364552416323073,0.17384773548185362
SYM_03450,0.16357138610265554,-0.06012605115944543
CAU_00156,-0.013636946279056312,-0.257616515491537
SYM_03619,0.11941281658640934,-0.23205910195784268
CAU_00028,0.2002958378172719,-0.09646464514870166
SYM_03474,0.25313162369077097,-0.024011211407392572
CAU_00026,0.12204918950188036,-0.019182090786340703
SYM_03870,0.434150894309874,0.2393702790197176
SYM_03696,0.20081999732528164,-0.2383145264522674
SYM_03460,-0.0675489714972477,0.01768221858206009
SYM_03546,0.17361857256229812,-0.1580243582275177
CAU_00015,0.1731161963470704,-0.07466525601478188
